arm,role,update,length,words,prefix_exact_count,state_correct_count,token_correct_count,token_denominator,E,E_low95,E_high95,A,A_low95,A_high95,M,state_ce
seq,dev,10000,12,102400,0,1727,488066,1228800,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016865234375,0.016094484703258225,0.01767223156012711,0.3971891276041667,4.096657239331398
seq,ood_dev,10000,1,102400,102400,102400,102400,102400,1.0,0.9999624871609701,1.0,1.0,0.9999624871609701,1.0,1.0,0.017943170667188042
seq,ood_dev,10000,2,102400,100663,100663,203063,204800,0.983037109375,0.9822278757678217,0.9838101027955194,0.983037109375,0.9822278757678217,0.9838101027955194,0.9915185546875,0.08017362610894083
seq,ood_dev,10000,3,102400,100280,100875,303938,307200,0.979296875,0.9784066122672529,0.9801511781597082,0.985107421875,0.9843471499215307,0.9858312983152112,0.9893815104166667,0.056735046376651825
seq,ood_dev,10000,4,102400,93832,94226,398164,409600,0.916328125,0.9146165159723147,0.9180084987278119,0.92017578125,0.9185000032309285,0.921820035296179,0.972080078125,0.2727210363459203
seq,ood_dev,10000,5,102400,63378,67033,465197,512000,0.61892578125,0.6159468162209417,0.6218958237916811,0.654619140625,0.6517010524886957,0.657525628355438,0.908587890625,1.1315841230737038
seq,ood_dev,10000,6,102400,8812,10818,476015,614400,0.0860546875,0.08435248503930215,0.0877879464884479,0.10564453125,0.10377662097976816,0.10754202830667146,0.7747639973958333,3.50199236623614
seq,ood_dev,10000,7,102400,891,3203,479218,716800,0.008701171875,0.008150475177496641,0.009288728600213477,0.031279296875,0.030230586319959184,0.0323631735186135,0.6685518973214286,3.9986602661888444
seq,ood_dev,10000,8,102400,75,1988,481206,819200,0.000732421875,0.0005843998858659578,0.000917901752716203,0.0194140625,0.018586831624648362,0.020277349661178636,0.58740966796875,4.08304346029563
seq,ood_dev,10000,9,102400,12,1789,482995,921600,0.0001171875,6.703989323386348e-05,0.00020483915372444735,0.017470703125,0.016686150166160145,0.018291458171521675,0.5240831163194445,4.094759087868733
seq,ood_dev,10000,10,102400,0,1777,484772,1024000,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.017353515625,0.016571614402483354,0.01817162772727011,0.47341015625,4.0966549642221075
