first_update,update,updates_in_bin,training_seconds,loss,token_accuracy,whole_word_exact,grad_norm
67201,67300,100,3693.3043313030466,0.006299601089349523,0.9993188560009003,0.99734375,2.2782160337039032
67301,67400,100,3698.896488985043,0.004931645760598258,0.9994620895385742,0.9983203125,1.7232336049561854
67401,67500,100,3704.49322505304,0.0018401878936833782,0.9997485458850861,0.99892578125,0.4603315757325618
67501,67600,100,3710.0229925880303,0.0017694918479355692,0.9997444778680802,0.9988671875,0.5779317127919057
67601,67700,100,3715.5856301260246,0.0018431523738581745,0.9997387856245041,0.998701171875,0.5236322939611273
67701,67800,100,3721.1285801320155,0.0009775702164574796,0.999868986606598,0.999365234375,0.24784515134233515
67801,67900,100,3726.7033675210205,0.0012404802177752572,0.9997998148202896,0.99896484375,0.5847310602135258
67901,68000,100,3732.295856981018,0.0010604120892412539,0.9998608499765396,0.999326171875,0.23842788837791887
68001,68100,100,3737.8426466960154,0.0013369161754872038,0.9998079532384873,0.999150390625,0.5099459091189783
68101,68200,100,3743.432323813022,0.0012906915047551592,0.9998250418901443,0.999169921875,0.24301773914368824
68201,68300,100,3748.990592500031,0.0011612224350392353,0.9998209738731384,0.99919921875,0.345856507018907
68301,68400,100,3754.5793518370265,0.0012886784009378972,0.999794932603836,0.99912109375,0.3425421900692163
68401,68500,100,3760.1846813450175,0.0012401296418192943,0.9998063254356384,0.998955078125,0.3035270993079757
68501,68600,100,3765.747787471004,0.0009690197698728298,0.9998722416162491,0.999453125,0.2982168509037001
68601,68700,100,3771.343727567024,0.0010278370817923134,0.9998429453372956,0.999287109375,0.21491951028554468
68701,68800,100,3776.9668195160302,0.0012085868177928204,0.9998209726810455,0.9992578125,0.2725772052959655
68801,68900,100,3782.561912125042,0.00133082691000709,0.9998087644577026,0.999248046875,0.3534279260772746
68901,69000,100,3788.1774082510346,0.0006492328345802889,0.999882008433342,0.9994140625,0.16187006439780816
69001,69100,100,3793.7804788550275,0.0010027307262498652,0.9998339945077896,0.99923828125,0.21989247049670665
69101,69200,100,3799.3808051890355,0.00118443539119653,0.9998299252986907,0.999296875,0.28585509933240244
69201,69300,100,3804.9878544950316,0.0006101590329808459,0.9998893308639526,0.999443359375,0.1892091526693548
69301,69400,100,3810.570980576016,0.0010922695611770906,0.9998234140872956,0.99919921875,0.2662262704072054
69401,69500,100,3816.1574579070184,0.001251297292083109,0.9998193448781967,0.999287109375,0.1999015475937631
69501,69600,100,3821.791743240021,0.0008771256785985315,0.9998673588037491,0.999443359375,0.26291024273552466
69601,69700,100,3827.3904156190256,0.0008534701114149357,0.9998746836185455,0.999423828125,0.2173876662645489
69701,69800,100,3832.951048620016,0.000826251572534602,0.9998624753952027,0.999375,0.16607223498343957
69801,69900,100,3838.5318714020086,0.0015160024915348914,0.9997680789232254,0.998876953125,0.31011897055141163
69901,70000,100,3844.127792357014,0.0010165580542616226,0.9998689848184585,0.99943359375,0.14389261467847972
70001,70100,100,3849.7179442970155,0.00026959128253793095,0.9999536174535751,0.999716796875,0.05394321106810821
70101,70200,100,3855.290210224013,0.0016494370575128414,0.9997615659236908,0.999150390625,0.3721119394595735
