first_update,update,updates_in_bin,training_seconds,state_ce,token_accuracy
31901,32000,100,1725.4284165200734,0.0013139386486727745,0.9997819131612777
32001,32100,100,1730.795871397091,0.0019364611877244898,0.999656588435173
32101,32200,100,1736.1864560001086,0.0017073945670563263,0.9996915847063065
32201,32300,100,1741.5399268660913,0.0012386497923580464,0.9997819131612777
32301,32400,100,1746.8757568520778,0.0020166543481172994,0.9996679842472076
32401,32500,100,1752.2094132020793,0.0017022431854275056,0.9996850740909576
32501,32600,100,1757.5820104450868,0.001918779175466625,0.9996753072738648
32601,32700,100,1762.989009842102,0.001818730761297047,0.9997070437669754
32701,32800,100,1768.4049135051064,0.00163721661127056,0.9997233200073242
32801,32900,100,1773.7795618641176,0.0015512093122379157,0.999760752916336
32901,33000,100,1779.1298074861043,0.0018682355049531906,0.99969158411026
33001,33100,100,1784.5160287120998,0.0016121651855792152,0.9997029757499695
33101,33200,100,1789.901893129103,0.0017440621841524262,0.9996899539232253
33201,33300,100,1795.303278712101,0.0022964803453942293,0.999658215045929
33301,33400,100,1800.7102759581103,0.0020324361261009473,0.99965984582901
33401,33500,100,1806.0743186741238,0.0018131808014004492,0.9996940237283707
33501,33600,100,1811.4497245491402,0.000542754464167956,0.9999202519655228
33601,33700,100,1816.8031520361292,0.00011504876091748884,0.9999747747182846
33701,33800,100,1822.171317954144,0.001818135710491333,0.9996736764907836
33801,33900,100,1827.5381638561448,0.0011333706962977886,0.9997827261686325
33901,34000,100,1832.9109988291493,0.0019564518461265834,0.9996891438961029
34001,34100,100,1838.2893810521455,0.0015491547022975284,0.9997216945886612
34101,34200,100,1843.637163616142,0.0016506207299244124,0.9997550565004348
34201,34300,100,1848.982320038147,0.0015776327066123485,0.9997233211994171
34301,34400,100,1854.3510034091632,0.0016895163364097244,0.999729014635086
34401,34500,100,1859.6999701161549,0.00231399972573854,0.999650890827179
34501,34600,100,1865.0597351291544,0.0018350774006830762,0.9997029781341553
34601,34700,100,1870.4345433891758,0.0014628236643329728,0.9997697061300278
34701,34800,100,1875.8196859831514,0.0019245231965032872,0.9997054141759872
34801,34900,100,1881.2020527451532,0.0016746075099945302,0.9997143691778183
34901,35000,100,1886.5612918641418,0.0012222633286728523,0.9998095798492431
35001,35100,100,1891.9483266411553,0.001394389041015529,0.9997290176153183
35101,35200,100,1897.32835999519,0.0014670955275505547,0.9997436648607254
35201,35300,100,1902.6875765261793,0.0014321031104918803,0.9997404116392136
35301,35400,100,1908.0632214311627,0.0014049439569498645,0.9997640097141266
35401,35500,100,1913.4241259141563,0.001683361060131574,0.9997094869613647
35501,35600,100,1918.7925430071518,0.0018471452859375858,0.9997216933965682
35601,35700,100,1924.143356350156,0.0016482806342537515,0.9997127389907837
35701,35800,100,1929.4894049151626,0.0016208917871699668,0.999737156033516
35801,35900,100,1934.8633083291606,0.0014875696951639839,0.9997485464811325
35901,36000,100,1940.2392839951426,0.0012119221979082794,0.999807950258255
36001,36100,100,1945.6230644271527,0.0013134039456781466,0.9997745907306671
36101,36200,100,1950.9568035121447,0.0017999180642800639,0.9997062295675277
36201,36300,100,1956.2963827851636,0.0012837101847253507,0.9997802835702896
36301,36400,100,1961.6594655551926,0.0011323359392554266,0.9997981905937194
36401,36500,100,1967.0101830872154,0.00170090558094671,0.9997103023529053
